직무,비율,스킬
서버/백엔드 개발자,23.1391,SwiftUI;Xcode;vscode.dev;AWS;GCP;Java;Kotlin;Spring;QueryDSL;Git;Jira;Confluence;Spring Boot;DB;REST API;MVVM;Spring Data JPA;SQL;RDB;Spring Framework;PostgreSQL;Redis;Amazon EKS;Amazon SQS;JavaScript;Angular 2;React;Vue.js;Docker;Terraform;Pulumi;Golang;Argo;Linux;Ansible;Python;Shell;GitHub Actions;HW;SW;QA;Grafana;WebRTC;Selenium;Appium;NestJS;WebSocket;MongoDB;Notion;Slack;Backendless;MySQL;Node.js;TypeScript;Etl;Elasticsearch;MariaDB;Git Flow;Django;Celery;HTML5;CSS 3;Windows;Oracle;MSSQL;Django REST framework;Rails;C++;Hibernate;.NET;ExpressJS;GitHub;notion.so;FastAPI;Flask;SQLAlchemy;NoSql;Cassandra;Go;OLAP;K8S;Datadog;GraphQL;AZURE;TCP/IP;Apache HTTP Server;Akka HTTP;Windows Terminal;Kubernetes;RabbitMQ;PHP;Laravel;Jenkins;Sentry;Prometheus;JSP;Nexacro;jQuery;Eclipse;Ruby;C#;gRPC;Azure DevOps;C;Embedded;Router;Network;Embedded Linux;SAP;ABAP;Kafka;AIOHTTP;MCU;Asana;NGINX;RPA;Unity;Uniform CSS;Java 8;React.js Boilerplate;Next.js;AI/인공지능;Refactor.io;Microsoft Office 365;Kubeflow;Google Analytics;Microsoft Excel;AngularJS;Classic ASP;ASP.NET;Spring MVC;MQTT;Rust;OAuth2;JSON;XML;Blockchain;Solidity;GoLand;Mybatis;GitLab;AWS CloudFormation;ScrapingBot;Gradle;Spring Batch;Amazon RDS;ERP;AWS CodeCommit;JUnit;Amazon Aurora;Vite;Chakra UI;OpenStack;vmware;Red Hat OpenShift;Hack;Azure Security Center;ISMS;CISA;CISSP;iOS;Android OS;Mfc;VPN;FW;IPS;Snort;Travis CI;ES6;GCP IAM;Figma;Recoil;TailwindCSS;Linear;Framer;Vercel;PyTorch;TensorFlow;Sequelize;React Canvas;Swagger UI;MachineLearning;Lua;Nginx Proxy Manager;OpenResty;Electron;MSA;Tibero;TortoiseSVN;R Language;Vault;LDAP;Flutter;Bootstrap;OpenCV;InfluxDB;Dynamo;Druid;Ubuntu;OpenAPI;Envoy;Spring Security;Objective-C;pytest;DeepLearning;Coqui TTS;Prisma;Amazon ECR;Amazon S3;AWS Lambda;Amazon DynamoDB;AWS CodePipeline;L7;IntelliJ IDEA;Apache Tomcat;ELK;Bitbucket;CodeIgniter;Supabase;TypeORM;AWS Data Pipeline;Azure Cognitive Search;Azure Bot Service;Amazon Redshift;AWS CodeBuild;Bitbucket Pipelines;Blueprint;Unreal Engine;Netty;Spring Cloud;Fluentd
프론트엔드 개발자,15.2818,JavaScript;CSS 3;HTML5;Uniform CSS;ES6;Rust;three.js;Nuxt.js;TailwindCSS;Vue.js;GitHub;Node.js;TypeScript;React;Blockchain;PHP;Figma;jQuery;AWS;GCP;Redis;REST API;Next.js;Tailwind CSS;Git;Prettier;Amazon EC2;PostgreSQL;Amazon EKS;Amazon SQS;Jira;Jenkins;React Native;Infra;Create React Native App;Router;Webpack;Vite;ExpressJS;MySQL;Docker;Slack;notion.so;WebSocket;Chart.js;D3.js;Angular 2;Remix;Svelte;Notion;Adobe XD;Babel;AngularJS;Java;Kotlin;Spring Boot;OpenAPI;RDB;NoSql;MongoDB;RxJS;Sass;GitLab;iOS;Android OS;Firebase;Linux;Oracle;Spring;Eclipse;Spring Framework;DB;AI/인공지능;Refactor.io;SCSS;Azure DevOps;Backendless;GUI;IntelliJ IDEA;Visual Studio Code;ApexCharts;React.js Boilerplate;SW;Flutter;Android SDK;Jotai;Redux;Emotion;Zustand;Jest;Storybook;Sentry;Datadog;Laravel;Go;Bitbucket;Python;Django;React Query;NestJS;axios;Kafka;RabbitMQ;OAuth2;JSON;XML;vuex;GitHub Actions;Mocha;Jasmine;NLP;PyTorch;GoLand;FastAPI;Firebase Realtime Database;C++;C;Playwright;Supabase;Capacitor;Vercel;AWS CodeCommit;styled-components;Shopify;WebAssembly;Ant Design;Confluence;MariaDB;WebGL;FPGA;MachineLearning;ASIC;SQL;Pandas;NumPy;Google BigQuery;Tableau;Amazon Quicksight;Matplotlib;Plotly.js;TCP/IP;OpenCV;C#;Mfc;MVVM;Dart;redux-saga;DICOM;Nexacro;Tibero;MSSQL;TortoiseSVN;Dashboards by Keen IO;React Canvas;Konva;JSTL;JSP;Bootstrap;Swift;Windows;GraphQL;React D3 Library;pnpm;Expo;Google Analytics;mobX;L7;Network;Zeplin;Selenium;CodeIgniter;Blueprint;Unreal Engine;R Language;ProProfs Knowledge Base;Microsoft Teams
웹 풀스택 개발자,0.5,Python;Backendless;GitHub;Jira;Java;AWS;RDB;AWS Cloud Development Kit;REST API;Spring Framework;FastAPI;Flask;React;PostgreSQL;Redis;Linux;Kafka;Spring Boot;QA;Nft;Azure Cosmos DB;GitUI;Figma;Golang;gRPC;Git;Docker;Confluence;Kotlin;SQL;Kubernetes;OpenCV;TensorFlow;AI/인공지능;PyTorch;MachineLearning;SwiftUI;Xcode;vscode.dev;Django;MariaDB;MongoDB;NGINX;JavaScript;jQuery;Apache Tomcat;Spring;Flutter;Next.js;Tailwind CSS;Node.js;Prettier;Amazon EC2;Vue.js;TypeScript;ExpressJS;MySQL;Slack;notion.so;Network;Infra;Insight;ISMS;Azure DevOps;Django REST framework;Groovy;Shell;AZURE;C#;C++;NoSql;MSSQL;Celery;HTML5;CSS 3;FW;HW;SW;PCB;Rails;Oracle;GitHub Actions;Terraform;React Native;OpenAPI;C;Embedded;ROS;Microsoft Excel;Notion;JSP;Thymeleaf;Spring Data JPA;Mybatis;GitLab;Argo;Jenkins;Amazon EKS;yolo;RabbitMQ;PHP;Laravel;Elasticsearch;MCU;Asana;Vite;Chakra UI;Microsoft Office 365;Redis Cloud;R Language
안드로이드 개발자,3.547,Android OS;iOS;Kotlin;Jira;Git;Confluence;Swift;Embedded;Embedded Linux;AWS;C++;OpenCV;OpenGL;Linux;PyTorch;Python;REST API;MVVM;Jetpack;Jetpack Compose;Room;Dagger Hilt;Retrofit;OkHttp;Windows;Mac OS X;macOS;Java;Qt;Flutter;React;WebRTC;Flask;JavaScript;Android SDK;Android Studio;QA;Socket.IO;Firebase;C;Node.js;Webpack;Redux;React Native;Recoil;Xcode;XML;Figma;AAC;Coroutine;Flow;Objective-C;Foundation;Dart;Vue.js;SW;Lottie;WebSocket;LiveData
iOS 개발자,2.8573,Android OS;iOS;Kotlin;Jira;Git;Confluence;Swift;Flutter;REST API;React;Windows;Mac OS X;macOS;C++;Java;Qt;Linux;AWS;AZURE;OpenStack;Azure DevOps;Python;QA;Socket.IO;Firebase;Objective-C;Android Studio;Node.js;Webpack;Redux;React Native;Recoil;Xcode;Figma;JavaScript;Foundation;Rxswift;Dart;Vue.js;SW;Android SDK;Lottie;SwiftUI;Notion;GitHub;WebSocket;NestJS;TypeScript
크로스플랫폼 앱개발자,1.1823,Flutter;Linux;Git;Node.js;Firebase Hosting;iOS;Auth0;Dart;Firebase;Android SDK;Kotlin;JavaScript;Figma;Android Studio;Xcode;WebSocket;React Native;AWS;MVVM;AAC;Coroutine;Flow;Java;Spring Framework;jQuery;Vue.js;Android OS;Visual Studio Code;Swift;Git Flow;React;Jira;Python;FastAPI;Flask;PostgreSQL;Redis;Kafka;Spring Boot;HTML5;CSS 3;TypeScript;React Query;Zustand;Redux
게임 클라이언트 개발자,0.5,Cocos2D-X;TypeScript;Unity;Phaser;HTML5;C++;Unreal Engine;OpenProject;Project Reactor;AWS Mobile Hub;iOS;Android OS;C#;Git;REST API;Mfc;React;Next.js;JavaScript;Java;SW;Blueprint;Perforce;Photon;TCP/IP;Network
게임 서버 개발자,0.5,Unity;Photon;TCP/IP;Network;Cocos2D-X;TypeScript;Phaser;HTML5;C++;Unreal Engine;OpenProject;Project Reactor;AWS Mobile Hub
DBA,3.6445,SQL;Azure SQL Database;DB;AWS;Oracle;Infra;MariaDB;MSSQL;MySQL;PostgreSQL;Linux;Windows;SAP;Vertica;NoSql;Azure DevOps;GCP;AZURE;BigData;Mantis;Python;MongoDB;Etl;Kubernetes;NGINX;Django;Docker;Git;ASP.NET;Entity Framework;Java;C;Spring;Spring Boot;Jira;PHP;Selenium;CodeIgniter;Jenkins;GitHub;NestJS;RDB;Redis;Tableau;Snowflake;MSA;Amazon DynamoDB;Amazon ElastiCache;Amazon Aurora;Amazon RDS
빅데이터 엔지니어,5.419,AZURE;AWS;TypeScript;Python;Node.js;Power BI;Amazon Quicksight;Snowflake;SQL;PostgreSQL;Azure DevOps;Git;Docker;REST API;gRPC;AWS Cloud Development Kit;Amazon EKS;Airflow;AWS Glue;Amazon S3;Etl;Elasticsearch;Oracle;Amazon Aurora;C;C++;MATLAB;ROS;SummitDB;Amazon Redshift;Tableau;Jira;Confluence;Slack;PowerBI;R;BigData;MachineLearning;Ubuntu;OpenCV;Kafka;Kubernetes;Pandas;Linux;Windows;DB;MSSQL;React Native;GraphQL;React;TensorFlow;PyTorch;NumPy;scikit-learn;AI/인공지능;Django;MySQL;OpenStack;DeepLearning;Embedded;Swift;SW;vmware;Shell;jQuery;Apache Tomcat;GitHub;JavaScript;Java;Spring;GCP;Google BigQuery;Queue;Amazon SQS;NLP;MongoDB;CUDA;Embedded Linux;K8S;Ansible;Kubeflow;Apache Flink;Grafana;ELK;ERP;Spring Framework;PHP;GraphicsMagick;3D Rendering;Linear;OpenGL;Vulkan;Keras;Network;C#;WPF;PCB;HALCON;MariaDB;NoSql;Selenium;HTML5;CSS 3;Cisco;Transformers;TCP/IP;WSL;R Language
인공지능/머신러닝,5.8091,TensorFlow;Keras;Slim;AI/인공지능;Docker;PyTorch;Git;Jira;C;C++;DeepLearning;MachineLearning;Embedded;Python;Perl;Verilog;CUDA;Embedded Linux;Linear;GitHub;Notion;Linux;VR;AR;SW;MATLAB;ROS;SummitDB;Azure DevOps;GCP;AWS;AZURE;R;BigData;RPA;FastAPI;NLP;Network;NumPy;scikit-learn;C#;TypeScript;HALCON;OpenCV;QA;Jotai;JavaScript;React;Redux;gRPC;ZeroMQ;SQL;MySQL;Flask;Transformers;jQuery;Apache Tomcat;Spring;Java;yolo;PyQt;Django;REST API;Airflow;K8S;Kubernetes;Ansible;Kubeflow;Apache Flink;Grafana;ELK;Node.js;Semantic UI;Spring Boot;Elasticsearch;Etl;Scala;NoSql;Spark;HTML5;Next.js;Tailwind CSS;Pandas;Matplotlib;OpenGL;Microsoft Teams;C lang;FFMPEG;FPGA;Tableau;RTOS;Haskell;R Language;Shell;DVC;Helm;Slack;Google Docs;Semantic UI React;3D Rendering;GraphicsMagick;Vulkan;Ubuntu;ARM;Windows;ASIC;MongoDB;Timber.io;Utm;TCP/IP;PostgreSQL;Neo4j;Redis;Vue.js;Spring Framework;Qt;GNU Bash;Flux;iOS;WPF;PCB;Go;Blockchain;Google App Engine;Google Cloud Platform;Swift;Nuxt.js;Jenkins;Google Analytics;OpenAPI;Coqui TTS;Debian;.NET;ASP.NET;Solidworks;MariaDB;MQTT;React Native;Electron;DC/OS;WSL;CrewAI;Zustand;React Query;Emotion
DevOps/시스템 엔지니어,10.0458,AZURE;GCP;AWS;DB;BigData;MachineLearning;MySQL;Redis;Elasticsearch;Python;Linux;Windows;Oracle;MSSQL;Kafka;Amazon EKS;C;C++;Java;Go;Vault;LDAP;Kubernetes;Rust;Network;.NET;OpenGL;C#;Qt;SW;macOS;Ubuntu;Docker;Docker Compose;R Language;Terraform;Pulumi;Golang;Argo;Ansible;Shell;GitHub Actions;HW;MCU;Ccna;Ccnp;TCP/IP;Windows Server;AI/인공지능;Kotlin;Android OS;iOS;Helm;GUI;Embedded Linux;JavaScript;Node.js;HTML5;CSS 3;Spring;Infra;GoLand;Perl;Ruby;WPF;Visual Studio;Git;Slack;REST API;L2;L3;L4;L7;Router;Switch;Cisco;Jira;Insight;ISMS;Spring Boot;MariaDB;PostgreSQL;CloudFlare;Azure DevOps;MSA;vmware;GitHub;Docker Cloud;Backendless;TypeScript;Embedded;SQL;Mfc;Kubeflow;TensorFlow;Keras;VPN;IPS;ASP.NET;PLC;Citrix Gateway;Ccie;Eclipse;AWS Certificate Manager;Protobuf;gRPC;Groovy;CentOS;Apache HTTP Server;NGINX;OpenStack;RHCSA;PowerShell;Debian;MQTT;RTOS;Deta Cloud;CISSP;AWS CloudFormation;Amazon CloudFront;Amazon S3;Amazon RDS;Amazon EC2;Datadog;ELK;OpenCV;NoSql;RDB;Solidity;Hyperledger Indy;AWS CodeCommit;Next.js;React;React.js Boilerplate;Orcad;PCB;Pads;Jenkins;GitLab;Red Hat OpenShift;CISA;K8S;OpenAPI;Microsoft Azure;FortiGate NGFW;MongoDB;Azure Database for MySQL;CouchDB;Neo4j;ArangoDB;Vue.js;ExpressJS;notion.so;PyTorch;CUDA;Grafana;Prometheus;ERP;Spring Framework;Bitbucket;Bamboo;Apache Tomcat;RPA;React Native;MES;Azure Synapse;FW;Firewall;Amazon ECR;Amazon ElastiCache;AWS IAM;Looker;YAML;React Query;NLP;DeepLearning;RabbitMQ;Verilog;EDA;ASIC;FPGA;Spring Security;Swagger UI;QueryDSL;Azure Application Insights;Azure DevOps Server;Hadoop;Scala;Spark;Rails;Solidworks;Slim;FastAPI;Django;GCP IAM;AWS CloudTrail;AWS Config;PHP;Selenium;CodeIgniter;jQuery;ARM;VMware vSphere;Microsoft SQL Server;WordPress;Istio
정보보안 담당자,7.3896,Network;Linux;DB;ISMS;CPPG;FW;Jira;Confluence;AWS;AWS WAF;SecureCRT;Cisco;IPS;MySQL;Spring Boot;Java;QueryDSL;MariaDB;JavaScript;CSS 3;HTML5;GCP;CloudFlare;Windows;Python;Rust;FastAPI;Electron;Git;GitHub;Infra;Shell;Hack;Azure Security Center;CISA;CISSP;SW;Docker;Elasticsearch;Kafka;vmware;AZURE;Firewall;VPN;Azure DevOps;Kubernetes;ELK;Splunk;Redis;Insight;ERP;MES;React Query;MSA;Deta Cloud;C++;C#;TCP/IP;WPF;Mfc;PowerShell;TypeScript;Solidity;SQLite;Node.js;Bugcrowd;AI/인공지능;MachineLearning;C;Windows Terminal;Snort;HW;SonarQube;L2;L3;L4;Go;Containerum;ARM;Cloud Foundry;JSON-RPC
QA 엔지니어,3.3509,SW;iOS;Jira;Confluence;Android OS;Postman;Redmine;Slack;QA;REST API;Jenkins;Selenium;Python;Appium;HW;Grafana;WebRTC;Linux;C++;C;Testrail;Playwright;React;Notion;Git
개발 PM,0.5,OpenCV;TensorFlow;AI/인공지능;PyTorch;MachineLearning;AWS;Java;Spring Boot;Python;Flask;Django;MariaDB;MongoDB;NGINX;Docker;JavaScript;Flutter;Redis;REST API;Next.js;Tailwind CSS;Git;Node.js;Prettier;Amazon EC2;Vue.js;TypeScript;ExpressJS;MySQL;GitHub;Slack;notion.so;Jira;Network;Infra;Insight;ISMS;Azure DevOps;Groovy;Shell;FW;HW;SW;PCB;GitHub Actions;Terraform;React;React Native;OpenAPI;C;C++;C#;Embedded;Linux;ROS;RDB;AWS Cloud Development Kit;Spring Framework;SQL;Figma;Microsoft Excel;Notion;Confluence;NoSql;Kubernetes;Vite;Chakra UI;Microsoft Office 365;jQuery;Apache Tomcat;Spring;Thymeleaf;Oracle;Nft;Azure Cosmos DB;GitUI;yolo;Kotlin;Asana;PHP;Redis Cloud;FastAPI;PostgreSQL;Kafka;QA;R Language
HW/임베디드,2.6603,PCB;RTOS;MCU;FPGA;FW;C;HW;Linux;C++;Embedded Linux;SW;TCP/IP;Network;Orcad;Pads;SMPS;Embedded;Verilog;C#;Python;VHDL;ASIC;Perl;RF;MATLAB;PyTorch;CUDA;Android OS;AWS;OpenCV;OpenGL;Docker;Windows;Git;DeepLearning;AI/인공지능;VR;AR;Ccna;Ccnp;Genesys;Scope;Yocto;Zephyr;Jira;QA;Grafana;Confluence;WebRTC;Selenium;Appium;Autocad;Solidworks;Fusion 360;ethernet;Bootsnap;Qt;GUI;R Language;Analog;MachineLearning;ARM;Router;labview;Flutter;GitHub;WPF;TensorFlow;Keras;JavaScript;ES6;EDA;PLC;MES;Mfc;SQL;Dart;AZURE;OpenStack;Azure DevOps;Ubuntu;Debian;MQTT;Kubernetes;Kubeflow;CISA;CISSP;WebAssembly;Shell;Eclipse;Visual Studio Code;MVVM;AAC;Kotlin;Coroutine;Flow;Spring;Spring Boot;Java;Infra;Circuit design;Spring Framework;Cisco ISE;SocketCluster
SW/솔루션,6.897,C#;MSSQL;C;C++;CUDA;Linux;Docker;Git;ROS;OpenCV;TensorFlow;AI/인공지능;PyTorch;MachineLearning;AWS;Verilog;Python;MySQL;ERP;MES;SW;WPF;PCB;HALCON;Visual C++;Java;JavaScript;DeepLearning;MongoDB;Oracle;PostgreSQL;Oracle PL/SQL;MCU;Embedded Linux;GitHub;Qt;.NET;Mfc;Dialogflow;GUI;OpenGL;DirectX;Visual Studio;Keras;HW;Windows;Microsoft SQL Server;WCF;Spring Framework;FW;Blockchain;Kotlin;Android OS;Firebase;PLC;Vb.net;Embedded;Router;Network;Blazor;Analog;SMPS;AWS WAF;Cloudflare WAF;Citrix Gateway;FortiGate NGFW;Cisco;TCP/IP;Apache HTTP Server;AIOHTTP;REST API;Rust;FastAPI;Electron;Orcad;Pads;DB;Spring Boot;HTML5;XML;Switch;L2;L3;Ccnp;Ccie;React Router;Apache Sling;CSS 3;Headless UI;React;AngularJS;Adobe Target;Jenkins;Slack;Jira;Notion;Microsoft Teams;C lang;Kubernetes;FFMPEG;RTOS;ASIC;FPGA;SAP;ABAP;SQL;DB2;JsonAPI;Haskell;NestJS;Node.js;TypeScript;Swift;MATLAB;WebSocket;Flux;GitLab;MariaDB;Confluence;JSP;Spring Data JPA;MQTT;SCADA;iOS;React Query;MSA;Deta Cloud;Spring;Vue.js;Nexacro;Tibero;TortoiseSVN;VHDL;3D Rendering;Azure App Service;AWS Amplify;CentOS;Ubuntu;Apache Tomcat;NGINX;Redis;InfluxDB;ARM;Infra;Azure DevOps;Coqui TTS;Firewall;Shell;gRPC;CMake;Prometheus;Grafana;Azure Application Insights;yolo;PyQt;Golang;NetBeans IDE;OpenStack;Miplatform;Laravel;PHP;React.js Boilerplate;Kafka;RabbitMQ;ethernet;AZURE;CISSP;CISA;Go;labview;Autocad;Flask;L4;jQuery;Perl;Postman;Newman;Selenium;Appium;Apache JMeter;SecureCRT;Druid;Utm;L7;SQLite;Yocto;NLP;Google Docs;Django;R;GNU Bash;Transformers;QA;Vault;LDAP;SummitDB;Django REST framework;Linear;GCP;WebRTC;ZeroMQ;K8S;Kubeflow;GoLand;Next.js;React Native;ASP.NET;NoSql;AWS Lambda;Amazon API Gateway;Amazon DynamoDB;Amazon Athena;Flutter
웹퍼블리셔,4.5323,HTML5;CSS 3;jQuery;JavaScript;React;REST API;React Native;Vue.js;axios;GUI;TypeScript;IntelliJ IDEA;Visual Studio Code;ApexCharts;Zeplin;TailwindCSS;Vercel;Git;GitHub;Java;JSP
VR/AR/3D,0.5,DeepLearning;C;Linux;Python;AI/인공지능;VR;AR;Embedded;SW;C++;AWS;Docker;Kubeflow;Grafana;Unity;C#;TCP/IP
블록체인,1.2809,TensorFlow;Keras;Slim;Python;DeepLearning;Node.js;TypeScript;React;Vue.js;Blockchain;Go;Java;JavaScript;Docker;Kubernetes;CUDA;C;C++;Embedded Linux;PyTorch;MATLAB;ROS;SummitDB;ARM;RTOS;Embedded;Windows;Linux;ASIC;Next.js;MachineLearning;AI/인공지능;AZURE;Git;GitHub;SQL;Matplotlib;Jupyter;ethernet;GraphQL;Google BigQuery;MVVM;AAC;Kotlin;Coroutine;Flow;Azure DevOps;Backendless;AWS;SW;C#;WPF;PCB;OpenCV;HALCON;OpenGL
기술지원,0.5,JavaScript;CSS 3;HTML5;C#;MSSQL;Microsoft Teams;Microsoft Office 365;Microsoft SharePoint;Microsoft SQL Server;Microsoft Azure;Microsoft IIS;SW;Linux;Docker;Elasticsearch;Kafka;Python;vmware;Shell;Flutter;Kotlin;Swift;MVVM;REST API;WhatsApp;Datadog;Zabbix;Kubernetes;AWS;GCP;AZURE;Java;JSP;C++;PHP;MySQL;MongoDB;Laravel;jQuery;GitLab;Windows;DB;Oracle;Infra;DbUnit;Network;SAP;Azure DevOps;Postman;Newman;Selenium;Appium;Apache JMeter;C;TCP/IP;SecureCRT;AI/인공지능;BigData;AWS IoT Device Management;WPF;TensorFlow;Keras;PCB;OpenCV;Groovy;SQL;PostgreSQL;Git;OpenStack;L2;L3;L4;L7;Router;Switch;Cisco;VPN;Ccna;Ccnp;Ccie;CISSP;CISA;Firewall;AAC;Coroutine;Flow;Notion;Jira;Confluence;Slack;ERP;Citrix Gateway;Amazon EKS;Spring Framework;Spring Boot;QueryDSL;JUnit;Amazon Aurora;Gradle;Golang;Jenkins;Argo;Red Hat OpenShift;Apache Tomcat;GitHub;Spring;Mfc;HW;Django;Vue.js;Windows Terminal;AssemblyScript;Windows Server;TypeScript;NestJS;Node.js;ExpressJS;Ansible;Grafana;Prometheus;FW;.NET;HP Cloud Compute;FastAPI;Embedded;ROS;MariaDB;React.js Boilerplate;YAML;Helm;GNU Bash;ibatis;Android OS;iOS;Slim;IPS;three.js;WebGL;3D Rendering;React;VR;AR;Blender;VMware vSphere;WordPress;PowerShell;Active Directory;Nexacro
